eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D0606,1106,"Global warming can cause changes to plant and animal populations.",Y,oriFake,D0606.M.250.B.A,1
D0606,1100,"Global warming is the ongoing rise in average surface temperature.",Y,oriFake,D0606.M.250.B.A,1
D0630,neg_D0606_1,"Many independent bookstores were forced to close their doors in the 1990s.",Y,AC5UD8N187QD6,D0630.M.250.C.I,1
D0606,1107,"Changes in ocean currents have resulted in a shortage of feed for seals and penguins.",Y,oriFake,D0606.M.250.B.A,1
D0606,pos_D0606_1,,,,,1
D0606,1110_1,"It can endanger human health by causing food and water shortages.",Y,oriFake,D0606.M.250.B.A,1
D0645,neg_D0606_0,"Three-fifths of all poor renters spent more than halve their income on rent.",Y,AJQGWGESKQT4Y,D0645.M.250.I.F,1
D0606,pos_D0606_0,,,,,1
D0606,1110_0,"It can endanger human health by causing food and water shortages.",Y,oriFake,D0606.M.250.B.A,1
D0606,1109,"Increased sea levels could threaten many low-lying coastal cities.",Y,oriFake,D0606.M.250.B.A,1
