eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D0614,24,Quebeckers wanted Bouchard to focus on the economy rather than independence.,Y,A2IXBTOWQRCLPZ,D0614.M.250.E.J,1
D0614,23,Jean Chretien ruled out any declaration of independence.,Y,A2IXBTOWQRCLPZ,D0614.M.250.E.J,1
D0614,32,The sentiment for breaking up Canada appeared to gain some momentum in recent years.,Y,A2IXBTOWQRCLPZ,D0614.M.250.E.A,1
D0614,28,Lucien Bouchard vowed to keep the independence movement alive.,Y,A249LDVPG27XCE,D0614.M.250.E.A,1
D0614,48,"In 1999, Chretien proposed legislation making secession attempts difficult for Quebec.",Y,A249LDVPG27XCE,D0614.M.250.E.B,1
D0614,4,Lucien Bouchard stepped forward to assume the Premiership and leadership of the Party Quebecois,Y,A24DSECWUBZC0Z,D0614.M.250.E.E,1
D0614,39,Quebec has a French-speaking majority.,Y,AGA1PIIWM8I8D,D0614.M.250.E.B,1
D0614,3,The Quebec Premier Parizeau resigned after defeat in the referendum,Y,A24DSECWUBZC0Z,D0614.M.250.E.E,1
D0614,35,Bouchard is now in a position to work any attempt to provide changes to his advantage.,Y,A2IXBTOWQRCLPZ,D0614.M.250.E.A,1
D0614,47,Parti Quebecois retained control in 1998 provincial elections.,Y,A249LDVPG27XCE,D0614.M.250.E.B,1
