eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D0614,45_1,Jean Chretien declared that unilateral secession was illegal.,Y,A249LDVPG27XCE,D0614.M.250.E.B,1
D0614,43,A third referendum was never held.,Y,AGA1PIIWM8I8D,D0614.M.250.E.B,1
D0614,pos_D0614_0,,,,,1
D0617,neg_D0614_1,All 217 people on board Flight 990 died when it crashed.,Y,A2YKW761AK4ZGY,D0617.M.250.H.B,1
D0614,29,"if a majority of Quebeckers voted in favor of secession, federal officials would be obliged to negotiate.",Y,A249LDVPG27XCE,D0614.M.250.E.A,1
D0614,pos_D0614_1,,,,,1
D0614,28,Lucien Bouchard vowed to keep the independence movement alive.,Y,A249LDVPG27XCE,D0614.M.250.E.A,1
D0614,45_0,Jean Chretien declared that unilateral secession was illegal.,Y,A249LDVPG27XCE,D0614.M.250.E.B,1
D0614,38,There is still uncertainty in Quebec.,Y,A2IXBTOWQRCLPZ,D0614.M.250.E.A,1
D0624,neg_D0614_0,Stephen Lawrence was 18 years old and the child of Jamaican immigrants.,Y,A3GQ6KDIZWCMW6,D0624.M.250.F.H,1
