eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D0630,22,Independent booksellers have had great difficulty competing against the major chain stores.,Y,AOGFK82SQRJY7,D0630.M.250.C.I,1
D0630,23,"In the 1990s, membership in the American Bookseller Association dropped by almost half.",Y,AOGFK82SQRJY7,D0630.M.250.C.I,1
D0630,35,In 1997 the independents market share was down to 17%.,Y,ABLP1KUWW46S6,D0630.M.250.C.H,1
D0630,30,The American Booksellers Association (ABA) represents the independent booksellers of the U.S.,Y,AC5UD8N187QD6,D0630.M.250.C.H,1
D0630,60,Adults purchased over 50 million titles online.,Y,AYSG3J2U3UF1Y,D0630.M.250.C.G,1
D0630,3,Big chains are proliferating and squeezing out independent bookstores.,Y,AC5UD8N187QD6,D0630.M.250.C.C,1
D0630,51,30 million fewer books were purchased in 1998.,Y,A2N2GFB33ZMYGF,D0630.M.250.C.G,1
D0630,4,Independents lost half their market share in six years and many have closed.,Y,AC5UD8N187QD6,D0630.M.250.C.C,1
D0630,42,The ABA was formed to represent and promote the independent booksellers.,Y,A3QAETE7C7Z4R3,D0630.M.250.C.H,1
D0630,58,One-half of the book sales were generated by major chain stores and electronic bookstores.,Y,AYSG3J2U3UF1Y,D0630.M.250.C.G,1
