eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D0645,132,"In 1997 at least 4.5 million families were paying more than 50% of their income on housing",Y,A2IU5TX5S0FA1C,D0645.M.250.I.D,1
D0645,133,"Grants were made to non-profit organizations to build or rehabilitate apartments for the elderly and disabled.",Y,A2IU5TX5S0FA1C,D0645.M.250.I.D,0
D0645,134,"There is not enough low-cost housing in the United States.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,0
D0645,135,"In 1995 there were 4.4 million more low-income earners than there were low-cost housing units.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,0
D0645,136,"Landlords were dropping out of rent subsidy programs to raise the rent or convert the real estate to condominiums.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,0
D0645,137,"The number of homeless was rising.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,1
D0645,138,"Rents were going up faster than incomes.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,0
D0645,139,"To address this crisis, various programs were used to create more low-cost housing.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,1
D0645,140,"Tax credits were created to encourage builders to build more units and build in low-income areas.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,0
D0645,141,"The number of rent vouchers given to low-income city dwellers was increased.",Y,AJQGWGESKQT4Y,D0645.M.250.I.D,1
D0645,142,"No new U.S. federal housing assistance vouchers were created after 1994.",Y,AJQGWGESKQT4Y,D0645.M.250.I.F,0
D0645,143,"Three-fifths of all poor renters spent more than halve their income on rent.",Y,AJQGWGESKQT4Y,D0645.M.250.I.F,0
D0645,144,"In 1997 5.4 million were paying more than 50% of income for housing.",Y,AJQGWGESKQT4Y,D0645.M.250.I.F,1
D0645,145,"In 1998, 90,000 new rent vouchers were created.",Y,AJQGWGESKQT4Y,D0645.M.250.I.F,0
D0645,146,"There were two low-income renters for every low-cost unit.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,0
D0645,147,"Three-fifths of all poor renters spent over half their income on rent.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,0
D0645,148,"In 1998 there was a $283 million rent subsidy for 50,000 welfare job seekers.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,1
D0645,149,"In 1998, with rising real estate prices, local governments built more low and moderate-income housing.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,0
D0645,150,"The FY1999 housing budget provided $1.8 billion in new vouchers.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,0
D0645,151,"Federal rent subsidies increased from 40% to 50% in 2000.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,1
D0645,152,"The FY1999 housing budget provided $822 million for construction and rehabilitation of apartment unites and rent subsidies.",Y,AI6U09NVOZ62B,D0645.M.250.I.F,1
D0645,153,"The number of people living below the poverty level in America has increased.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,1
D0645,154,"The amount of affordable housing for low and moderate-income residents has decreased.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,0
D0645,155,"Republicans and Democrats disagree on how to increase low-cost housing.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,1
D0645,156,"Republicans favored giving more subsidized rental units to the working poor.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,0
D0645,157,"Democrats favored subsidizing housing for the poorest people in America.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,0
D0645,158,"Democrats and Republicans had to compromise on a bill to address housing issues for low income people.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,1
D0645,159,"Single mothers, elderly, immigrants and the working poor have the most trouble finding affordable housing.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,0
D0645,160,"The working poor pay more than half their income for housing.",Y,A2CCK1JKX48R0H,D0645.M.250.I.I,0
