R1
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,76,0.15795,,76,0.15795,,76,0.15795,,76,0.15795
,,110,0.2152,,114,0.22902,,107,0.20434,,124,0.23297
,,158,0.27641,,150,0.27443,,141,0.25962,,161,0.27048
,,188,0.32182,,182,0.31589,,185,0.32083,,195,0.30997
,,254,0.41066,,236,0.36525,,241,0.36723,,242,0.385
,,291,0.45212,,276,0.40178,,293,0.4304,,283,0.42843
,,333,0.47483,,329,0.46199,,333,0.4529714285714286,,323,0.46101
,,,,,333,0.46377322580645164,,,,,333,0.4690127027027027
,D0640
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,78,0.15727,,78,0.15727,,78,0.15727
,,106,0.18595,,103,0.21365,,101,0.19683
,,150,0.26113,,142,0.26607,,124,0.24135
,,209,0.31949,,167,0.30267,,143,0.27498
,,232,0.35312,,209,0.34224,,178,0.31751
,,271,0.3818,,249,0.38773,,203,0.34817
,,296,0.4184,,290,0.41543,,228,0.38773
,,324,0.43422,,339,0.45994,,272,0.43323
,,364,0.45302,,383,0.48368,,302,0.45302
,,409,0.48665,,427,0.50148,,338,0.47478
,,437,0.5076596551724138,,437,0.5066408695652175,,366,0.48764
,,,,,,,,405,0.5094
,,,,,,,,437,0.54006
,D0643
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,83,0.16994,,83,0.16994,,83,0.16994
,,139,0.2613,,104,0.1945,,104,0.1945
,,171,0.31238,,150,0.26326,,156,0.29961
,,234,0.39096,,208,0.33694,,196,0.33202
,,255,0.4057,,252,0.38409,,239,0.37132
,,290,0.44008,,299,0.42534,,278,0.42829
,,333,0.4725,,333,0.43904461538461537,,322,0.46857
,,,,,,,,333,0.4795680357142857
,D0645
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,80,0.13579,,80,0.13579,,80,0.13579
,,125,0.21435,,125,0.21435,,130,0.19787
,,163,0.25994,,168,0.26673,,190,0.26188
,,194,0.28128,,215,0.33657,,223,0.29389
,,228,0.34045,,274,0.39476,,252,0.31038
,,273,0.38506,,323,0.43744,,291,0.35984
,,310,0.41901,,385,0.4743,,338,0.40155
,,353,0.45005,,425,0.48206,,362,0.4161
,,398,0.48206,,440,0.4873227659574468,,396,0.4355
,,440,0.48885,,,,,416,0.44423
,,,,,,,,440,0.45340090909090913
,D0647
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y
,,82,0.13186,,82,0.13186,,82,0.13186
,,99,0.16747,,121,0.17517,,113,0.18191
,,124,0.21848,,150,0.22137,,136,0.22618
,,152,0.25987,,179,0.26275,,161,0.27238
,,209,0.30799,,228,0.33205,,193,0.3359
,,262,0.38017,,268,0.36862,,218,0.37055
,,312,0.44947,,313,0.40327,,273,0.43311
,,345,0.47738,,341,0.42252,,324,0.47449
,,382,0.49567,,372,0.46198,,353,0.49759
,,433,0.52839,,431,0.53224,,386,0.53898
,,,,,433,0.5332358620689656,,427,0.56208
,,,,,,,,433,0.5665848
,D0650
,,RealSessions_AJQGWGESKQT4Y_x,RealSessions_AJQGWGESKQT4Y_y,,RealSessions_A3GWRDHAURRNK6_x,RealSessions_A3GWRDHAURRNK6_y,,RealSessions_A1A1ZXUVSV4YR8_x,RealSessions_A1A1ZXUVSV4YR8_y,,RealSessions_AVBRJBJONL47I_x,RealSessions_AVBRJBJONL47I_y
,,91,0.17097,,91,0.17097,,91,0.17097,,91,0.17097
,,113,0.1839,,113,0.1839,,118,0.1829,,122,0.20179
,,162,0.22863,,152,0.22465,,153,0.21372,,166,0.24851
,,196,0.27634,,182,0.23757,,183,0.23857,,233,0.30318
,,233,0.31312,,233,0.28231,,221,0.28032,,267,0.34692
,,292,0.35984,,264,0.29821,,280,0.33698,,304,0.37773
,,328,0.39364,,311,0.31412,,318,0.35686,,343,0.39662
,,372,0.42346,,378,0.3668,,343,0.37376,,391,0.44036
,,414,0.46421,,436,0.40159,,398,0.40656,,421,0.46024
,,445,0.48608,,447,0.4088788095238095,,432,0.44433,,447,0.47018
,,447,0.4873357894736842,,,,,447,0.45642324324324324,,,
R2
,D0601
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,86,0.01815,,86,0.01815,,86,0.01815,,86,0.01815
,,156,0.02923,,114,0.0252,,128,0.04234,,126,0.02419
,,196,0.03125,,156,0.04738,,180,0.04335,,152,0.02823
,,256,0.03427,,182,0.05141,,219,0.04637,,180,0.03427
,,287,0.05141,,218,0.06653,,246,0.0494,,216,0.04032
,,328,0.05746,,259,0.08972,,269,0.0504,,256,0.04133
,,367,0.06149,,295,0.09173,,321,0.0625,,284,0.05847
,,414,0.0625,,344,0.09476,,361,0.07964,,326,0.0746
,,478,0.08065,,377,0.0998,,412,0.09879,,358,0.07661
,,,,,407,0.10383,,462,0.0998,,390,0.09073
,,,,,461,0.10786,,478,0.0998,,440,0.09375
,,,,,478,0.10786,,,,,478,0.09375
,D0603
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,81,0.00985,,81,0.00985,,81,0.00985,,81,0.00985
,,130,0.02956,,130,0.02956,,137,0.02759,,130,0.01872
,,181,0.04433,,187,0.04039,,180,0.04138,,161,0.02266
,,236,0.04729,,234,0.05025,,233,0.05419,,214,0.0335
,,285,0.06502,,279,0.0532,,291,0.05813,,257,0.04729
,,336,0.07882,,333,0.05714,,336,0.07982574468085106,,305,0.05222
,,,,,336,0.0573764,,,,,336,0.064434
,D0605
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,92,0.02632,,92,0.02632,,92,0.02632,,92,0.02632
,,123,0.03606,,123,0.03606,,145,0.04776,,123,0.03606
,,170,0.04678,,170,0.04678,,179,0.05361,,185,0.04386
,,198,0.05263,,198,0.06043,,216,0.05848,,232,0.05458
,,236,0.0614,,215,0.06433,,233,0.06628,,285,0.07407
,,265,0.07018,,256,0.07797,,272,0.06725,,315,0.07505
,,303,0.07212,,289,0.08772,,320,0.07407,,332,0.08285
,,342,0.07602,,325,0.09552,,348,0.0809,,360,0.08967
,,373,0.077,,378,0.10916,,372,0.08967,,401,0.09259
,,433,0.09064,,406,0.11598,,418,0.09844,,449,0.09844
,,457,0.09064,,436,0.11696,,457,0.106045,,457,0.10148390243902439
,,,,,457,0.11696,,,,,,
,D0608
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,91,0.01313,,91,0.01313,,91,0.01313,,91,0.01313
,,135,0.02929,,129,0.0202,,116,0.01515,,121,0.01616
,,174,0.0303,,170,0.03535,,144,0.02222,,162,0.0202
,,232,0.03434,,204,0.04949,,192,0.02222,,200,0.02525
,,281,0.0404,,250,0.05556,,245,0.02727,,241,0.0404
,,320,0.04141,,283,0.05859,,291,0.02828,,275,0.05455
,,366,0.04848,,331,0.0596,,328,0.0303,,335,0.07273
,,399,0.05657,,388,0.06667,,387,0.03737,,376,0.07374
,,454,0.06364,,436,0.07172,,428,0.05253,,424,0.07879
,,505,0.07273,,496,0.08687,,462,0.06566,,474,0.08485
,,,,,505,0.08800625000000001,,505,0.07186428571428571,,505,0.08832888888888889
,D0614
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.03596,,89,0.03596,,89,0.03596,,89,0.03596
,,140,0.05794,,124,0.04995,,123,0.04595,,118,0.04695
,,203,0.06693,,163,0.08392,,171,0.05594,,173,0.06194
,,228,0.07093,,198,0.08691,,217,0.05794,,219,0.07692
,,277,0.08791,,258,0.0989,,253,0.08392,,260,0.08492
,,324,0.0989,,280,0.10589,,303,0.08891,,295,0.09291
,,357,0.1029,,307,0.11089,,332,0.0969,,330,0.1029
,,409,0.12188,,348,0.12288,,384,0.1049,,369,0.12088
,,,,,387,0.13986,,409,0.11044629629629629,,409,0.12723454545454546
,,,,,409,0.1419890322580645,,,,,,
,D0615
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,79,0.01804,,79,0.01804,,79,0.01804,,79,0.01804
,,108,0.02505,,108,0.02605,,127,0.02204,,108,0.02605
,,158,0.04309,,166,0.0491,,165,0.02906,,166,0.0491
,,214,0.0481,,208,0.06313,,197,0.03106,,217,0.07114
,,251,0.0521,,244,0.06613,,255,0.05311,,253,0.07415
,,293,0.05411,,280,0.06613,,307,0.05711,,289,0.07415
,,317,0.06112,,318,0.08317,,345,0.06413,,334,0.07515
,,356,0.06112,,364,0.08617,,366,0.06713,,368,0.07715
,,392,0.06914,,393,0.08617,,410,0.08617,,397,0.08216
,,431,0.07515,,431,0.0891578431372549,,431,0.08901351351351351,,431,0.09471315789473683
,D0616
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
,,89,0.02353,,89,0.02353,,89,0.02353,,89,0.02353
,,136,0.04314,,115,0.03333,,129,0.03235,,112,0.03725
,,188,0.05784,,167,0.04804,,155,0.04216,,148,0.04314
,,221,0.06373,,198,0.05686,,191,0.06078,,184,0.06176
,,284,0.07157,,247,0.07255,,241,0.08137,,233,0.07059
,,333,0.07647,,290,0.07451,,285,0.08529,,266,0.07059
,,356,0.08039,,340,0.08137,,344,0.09902,,321,0.08333
,,407,0.1,,376,0.09902,,375,0.10784,,354,0.08627
,,454,0.11569,,431,0.11078,,429,0.11569,,407,0.1
,,,,,454,0.118298125,,454,0.12385666666666667,,450,0.10196
,,,,,,,,,,,454,0.10224
,D0617
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y
