R1,,,,,,,,,,,,,,,,,,,,,
,D0601,,,,,,,,,,,,,,,,,,,,
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,,,,,,,,
,,86,0.14558,,86,0.14558,,86,0.14558,,86,0.14558,,,,,,,,,
,,156,0.249,,114,0.1757,,128,0.21285,,126,0.19679,,,,,,,,,
,,196,0.27811,,156,0.23394,,180,0.25703,,152,0.23494,,,,,,,,,
,,256,0.32932,,182,0.27108,,219,0.3012,,180,0.25703,,,,,,,,,
,,287,0.3494,,218,0.32329,,246,0.3243,,216,0.29719,,,,,,,,,
,,328,0.3745,,259,0.39357,,269,0.34237,,256,0.31627,,,,,,,,,
,,367,0.38454,,295,0.40964,,321,0.39458,,284,0.36446,,,,,,,,,
,,414,0.40161,,344,0.43574,,361,0.43976,,326,0.39157,,,,,,,,,
,,478,0.46285,,377,0.46185,,412,0.48896,,358,0.41566,,,,,,,,,
,,,,,407,0.47189,,462,0.51205,,390,0.44378,,,,,,,,,
,,,,,461,0.51305,,495,0.51606,,440,0.45884,,,,,,,,,
,,,,,502,0.53614,,538,0.52912,,485,0.4749,,,,,,,,,
,,,,,529,0.54819,,603,0.55622,,537,0.50803,,,,,,,,,
,,,,,570,0.55221,,630,0.56627,,571,0.52008,,,,,,,,,
,,,,,593,0.55321,,689,0.57831,,633,0.5502,,,,,,,,,
,,,,,629,0.57229,,735,0.58233,,672,0.56827,,,,,,,,,
,,,,,661,0.57932,,,,,716,0.57229,,,,,,,,,
,,,,,693,0.59438,,,,,739,0.5753,,,,,,,,,
,,,,,743,0.60743,,,,,778,0.57831,,,,,,,,,
,,,,,795,0.61345,,,,,,,,,,,,,,,
,D0603,,,,,,,,,,,,,,,,,,,,
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,,,,,,,,
,,81,0.13739,,81,0.13739,,81,0.13739,,81,0.13739,,,,,,,,,
,,130,0.23062,,130,0.23062,,137,0.23258,,130,0.21884,,,,,,,,,
,,181,0.31894,,187,0.31894,,180,0.30618,,161,0.27282,,,,,,,,,
,,236,0.38862,,234,0.36703,,233,0.3896,,214,0.32875,,,,,,,,,
,,285,0.4318,,279,0.41904,,291,0.4475,,257,0.38077,,,,,,,,,
,,336,0.47399,,333,0.45535,,338,0.48184,,305,0.41217,,,,,,,,,
,,,,,383,0.49068,,365,0.49755,,350,0.46418,,,,,,,,,
,,,,,428,0.52404,,421,0.52208,,410,0.50245,,,,,,,,,
,,,,,455,0.53288,,468,0.54073,,457,0.53189,,,,,,,,,
,,,,,505,0.54465,,527,0.57311,,512,0.56428,,,,,,,,,
,,,,,552,0.57311,,582,0.60059,,539,0.57409,,,,,,,,,
,,,,,586,0.59961,,,,,577,0.58489,,,,,,,,,
,,,,,625,0.61237,,,,,616,0.6055,,,,,,,,,
,,,,,675,0.63395,,,,,684,0.6212,,,,,,,,,
,,,,,731,0.65751,,,,,732,0.62905,,,,,,,,,
,,,,,779,0.66536,,,,,766,0.64671,,,,,,,,,
,,,,,830,0.67517,,,,,819,0.65751,,,,,,,,,
,,,,,,,,,,,879,0.66241,,,,,,,,,
,D0605,,,,,,,,,,,,,,,,,,,,
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,,,,,,,,
,,92,0.13592,,92,0.13592,,92,0.13592,,92,0.13592,,,,,92,0,,457,0
,,123,0.17476,,123,0.17476,,145,0.21942,,123,0.17476,,,,,92,1,,457,1
,,170,0.2466,,170,0.2466,,179,0.27282,,185,0.2466,,,,,,,,,
,,198,0.2835,,198,0.28544,,216,0.31359,,232,0.31165,,,,,,,,,
,,236,0.32427,,215,0.29515,,233,0.32816,,285,0.38447,,,,,,,,,
,,265,0.34272,,256,0.33592,,272,0.36019,,315,0.40388,,,,,,,,,
,,303,0.37184,,289,0.36117,,320,0.39515,,332,0.41845,,,,,,,,,
,,342,0.39417,,325,0.4,,348,0.41359,,360,0.43981,,,,,,,,,
,,373,0.4165,,378,0.44369,,372,0.43786,,401,0.46505,,,,,,,,,
,,433,0.46602,,406,0.46408,,418,0.45922,,449,0.47573,,,,,,,,,
,,457,0.46893,,436,0.47864,,458,0.48058,,490,0.49612,,,,,,,,,
,,,,,477,0.50194,,495,0.50291,,523,0.50583,,,,,,,,,
,,,,,510,0.51262,,,,,548,0.5165,,,,,,,,,
,,,,,570,0.54272,,,,,,,,,,,,,,,
,,,,,603,0.55437,,,,,,,,,,,,,,,
,,,,,631,0.55922,,,,,,,,,,,,,,,
,D0608,,,,,,,,,,,,,,,,,,,,
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,,,,,,,,
,,91,0.14789,,91,0.14789,,91,0.14789,,91,0.14789,,,,,,,,,
,,135,0.22334,,129,0.20121,,116,0.18109,,121,0.17304,,,,,,,,,
,,174,0.26056,,170,0.27163,,144,0.22032,,162,0.21429,,,,,,,,,
,,232,0.31891,,204,0.31087,,192,0.25553,,200,0.26358,,,,,,,,,
,,281,0.36117,,250,0.35915,,245,0.30986,,241,0.33099,,,,,,,,,
,,320,0.39336,,283,0.3833,,291,0.33602,,275,0.36318,,,,,,,,,
,,366,0.42052,,331,0.41549,,328,0.36318,,335,0.41348,,,,,,,,,
,,399,0.44567,,388,0.44668,,387,0.3994,,376,0.44064,,,,,,,,,
,,454,0.47586,,436,0.46881,,428,0.45775,,424,0.46378,,,,,,,,,
,,505,0.50302,,496,0.49799,,462,0.49195,,474,0.47586,,,,,,,,,
,,,,,536,0.51911,,525,0.52414,,510,0.49296,,,,,,,,,
,,,,,577,0.55231,,553,0.54527,,558,0.51408,,,,,,,,,
,,,,,631,0.57646,,586,0.55734,,602,0.53823,,,,,,,,,
,,,,,660,0.59155,,617,0.5664,,653,0.55634,,,,,,,,,
,,,,,685,0.60463,,656,0.58249,,695,0.56338,,,,,,,,,
,,,,,715,0.61066,,,,,720,0.56942,,,,,,,,,
,,,,,749,0.62274,,,,,748,0.59155,,,,,,,,,
,D0614,,,,,,,,,,,,,,,,,,,,
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,,,,,,,,
,,89,0.18109,,89,0.18109,,89,0.18109,,89,0.18109,,,,,,,,,
,,140,0.27662,,124,0.24876,,123,0.24279,,118,0.22687,,,,,,,,,
,,203,0.35025,,163,0.32836,,171,0.29254,,173,0.30945,,,,,,,,,
,,228,0.38308,,198,0.36716,,217,0.33433,,219,0.3791,,,,,,,,,
,,277,0.44179,,258,0.43085,,253,0.39602,,260,0.42587,,,,,,,,,
,,324,0.47264,,280,0.45473,,303,0.43582,,295,0.45174,,,,,,,,,
,,357,0.49751,,307,0.47363,,332,0.4597,,330,0.48259,,,,,,,,,
,,409,0.52637,,348,0.5204,,384,0.48756,,369,0.51443,,,,,,,,,
,,,,,387,0.55025,,411,0.50945,,413,0.55025,,,,,,,,,
,,,,,418,0.55821,,455,0.54129,,435,0.56517,,,,,,,,,
,,,,,473,0.58408,,508,0.58109,,462,0.57711,,,,,,,,,
,,,,,502,0.59801,,571,0.61393,,494,0.58905,,,,,,,,,
,,,,,534,0.61095,,610,0.62289,,526,0.59602,,,,,,,,,
,,,,,571,0.61592,,649,0.6398,,585,0.60498,,,,,,,,,
,,,,,606,0.62687,,690,0.65075,,620,0.61393,,,,,,,,,
,,,,,641,0.63582,,748,0.66766,,,,,,,,,,,,
,,,,,,,,797,0.67562,,,,,,,,,,,,
,D0615,,,,,,,,,,,,,,,,,,,,
,,RealSessions_A1171IQSWQS0K8_x,RealSessions_A1171IQSWQS0K8_y,,RealSessions_A3K2VSBTT3WUTI_x,RealSessions_A3K2VSBTT3WUTI_y,,RealSessions_A17TKHT8FEVH0R_x,RealSessions_A17TKHT8FEVH0R_y,,RealSessions_A1ZB2NY0F9QNP0_x,RealSessions_A1ZB2NY0F9QNP0_y,,,,,,,,,
,,79,0.13273,,79,0.13273,,79,0.13273,,79,0.13273,,,,,,,,,
,,108,0.18164,,108,0.17066,,127,0.19361,,108,0.17066,,,,,,,,,
,,158,0.25649,,166,0.25449,,165,0.2515,,166,0.25449,,,,,,,,,
,,214,0.29541,,208,0.30639,,197,0.27745,,217,0.32934,,,,,,,,,
,,251,0.32535,,244,0.32934,,255,0.34631,,253,0.35429,,,,,,,,,
,,293,0.35928,,280,0.34631,,307,0.37725,,289,0.37325,,,,,,,,,
,,317,0.37824,,318,0.39122,,345,0.4012,,334,0.39222,,,,,,,,,
